Student_ID,Age,Gender,Degree,Specialization,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status,Salary
1048,22,Female,B.Tech,ECE,6.29,0,3,4,6,51,5,1,3,Not Placed,0
37820,20,Female,BCA,AI&ML,6.05,1,4,6,8,59,8,2,1,Not Placed,0
49668,22,Male,MCA,FSD,7.22,1,4,6,6,58,6,2,2,Not Placed,0
19467,22,Male,MCA,FSD,7.78,2,4,6,6,90,4,2,0,Placed,560000
23094,20,Female,B.Tech,ME,7.63,1,4,6,5,79,6,2,0,Placed,508000
8710,20,Male,BCA,AI&ML,7.99,1,4,5,7,84,6,2,0,Placed,528000
24363,21,Male,MCA,AI&ML,7.5,1,4,6,4,71,8,2,1,Not Placed,0
27448,19,Male,B.Tech,ME,8.0,0,4,4,5,74,3,1,0,Not Placed,0
23663,24,Male,BCA,DS,6.24,0,3,3,10,54,7,1,2,Not Placed,0
39336,23,Male,B.Sc,CS,7.08,2,4,7,6,59,6,2,2,Not Placed,0
21919,18,Female,MCA,DS,5.42,0,2,1,7,42,5,0,1,Not Placed,0
11924,19,Male,MCA,AI&ML,7.48,2,5,9,8,67,6,3,0,Placed,664000
11236,19,Male,B.Sc,DS,7.58,1,5,8,1,80,8,3,2,Not Placed,0
31588,18,Male,B.Tech,ECE,6.74,2,4,7,6,73,8,2,0,Placed,556000
11221,19,Female,MCA,AI&ML,6.11,1,3,5,5,57,5,1,2,Not Placed,0
6245,18,Male,BCA,AI&ML,6.79,0,3,5,5,81,6,2,0,Placed,462000
41110,23,Female,B.Sc,IT,7.41,0,3,3,5,83,5,1,1,Not Placed,0
46279,18,Female,B.Sc,DS,5.97,0,3,6,4,52,6,2,2,Not Placed,0
25157,23,Male,B.Tech,CSE,6.69,1,4,8,7,68,6,2,1,Placed,586000
42829,20,Male,BCA,DS,7.95,1,4,5,6,81,6,2,1,Placed,502000
32822,18,Female,B.Tech,ME,7.3,1,4,7,8,70,7,2,0,Placed,580000
10557,18,Female,MCA,FSD,7.02,0,3,3,8,81,6,1,0,Not Placed,0
33595,23,Female,BCA,AI&ML,7.29,0,3,3,6,88,5,1,0,Not Placed,0
49018,21,Male,BCA,FSD,7.69,1,3,4,5,54,9,1,0,Not Placed,0
2359,24,Male,BCA,DS,8.47,2,5,9,3,80,4,3,0,Not Placed,0
16180,24,Female,B.Tech,ECE,7.97,1,4,7,5,89,6,2,1,Placed,558000
19260,23,Male,B.Tech,ECE,7.58,2,4,5,4,66,6,2,2,Not Placed,0
26634,23,Female,MCA,DS,7.08,2,4,7,7,83,4,2,0,Placed,596000
9097,24,Female,B.Sc,DS,6.89,1,4,8,5,69,5,2,0,Placed,548000
19470,24,Male,B.Tech,ECE,7.49,2,4,5,3,80,4,2,0,Not Placed,0
32452,20,Male,BCA,IT,6.69,1,3,4,7,64,7,1,1,Not Placed,0
49309,21,Female,MCA,FSD,6.29,1,3,3,4,55,5,1,2,Not Placed,0
32207,20,Female,B.Sc,DS,8.0,0,4,5,7,74,6,2,0,Placed,498000
48115,21,Female,B.Tech,CSE,7.27,0,4,5,5,76,7,2,0,Placed,462000
6121,24,Female,BCA,DS,8.17,1,4,4,6,89,6,2,0,Not Placed,0
7729,23,Female,B.Sc,IT,7.83,1,5,9,5,82,6,3,1,Placed,624000
23604,19,Male,BCA,IT,6.9,1,4,6,7,75,5,2,0,Placed,540000
31239,23,Male,MCA,DS,5.22,0,3,4,4,47,6,1,1,Not Placed,0
